date,taiex,otc
2025-10-29,28294.74,264.08
2025-10-30,28287.53,262.02
2025-10-31,28233.35,264.31
2025-11-03,28334.59,265.68
2025-11-04,28116.56,261
2025-11-05,27717.06,259.11
2025-11-06,27899.45,262.11
2025-11-07,27651.41,258.86
2025-11-10,27869.51,257.26
2025-11-11,27784.95,256.7
2025-11-12,27947.09,258.82
2025-11-13,27903.56,260.3
2025-11-14,27397.5,256.25
2025-11-17,27447.31,255.96
2025-11-18,26756.12,250.06
2025-11-19,26580.12,246.7
2025-11-20,27426.36,252.95
2025-11-21,26434.94,245.97
2025-11-24,26504.24,250.34
2025-11-25,26912.17,254.4
2025-11-26,27409.54,256.14
2025-11-27,27554.53,258.24
2025-11-28,27626.48,262.28
2025-12-01,27342.53,259.72
2025-12-02,27564.27,259.13
2025-12-03,27793.04,260.55
2025-12-04,27795.71,259.86
2025-12-05,27980.89,260.65
2025-12-08,28303.78,262.37
2025-12-09,28182.6,264.19
2025-12-10,28400.73,264.67
2025-12-11,28024.75,263.98
2025-12-12,28198.02,265.37
2025-12-15,27866.94,265.16
2025-12-16,27536.66,260.24
2025-12-17,27525.17,261.45
2025-12-18,27468.53,259.39
2025-12-19,27696.35,262.64
2025-12-22,28149.64,266.85
2025-12-23,28310.47,267.76
2025-12-24,28371.98,269.75
2025-12-26,28556.02,271.5
2025-12-29,28810.89,272.82
2025-12-30,28707.13,274.54
2025-12-31,28963.6,276.24
2026-01-02,29349.81,278.03
2026-01-05,30105.04,275.66
2026-01-06,30576.3,278.97
2026-01-07,30435.47,281.44
2026-01-08,30360.55,280.06
2026-01-09,30288.96,279.85
2026-01-12,30567.29,286.57
2026-01-13,30707.22,285.36
2026-01-14,30941.78,290.6
2026-01-15,30810.58,291.16
2026-01-16,31408.7,292.78
2026-01-19,31639.29,295.11
2026-01-20,31759.99,297.61
2026-01-21,31246.37,293.16
2026-01-22,31746.08,297.82
2026-01-23,31961.51,299.26
2026-01-26,32064.52,302.65
2026-01-27,32317.92,305.26
2026-01-28,32803.82,309.28
2026-01-29,32536.27,305.48
2026-01-30,32063.75,300.78
2026-02-02,31624.03,294.32
2026-02-03,32195.36,298.26
2026-02-04,32289.81,301.52
2026-02-05,31801.27,296.36
2026-02-06,31782.92,290.72
2026-02-09,32404.62,296.62
2026-02-10,33072.97,296.52
2026-02-11,33605.71,297.71
2026-02-23,33773.26,303.83
2026-02-24,34700.82,311.44
2026-02-25,35413.07,313.24
2026-02-26,35414.49,316.73
2026-03-02,35095.09,316.01
2026-03-03,34323.65,308.81
2026-03-04,32828.88,293.8
2026-03-05,33672.94,304.21
2026-03-06,33599.54,306.49
2026-03-09,32110.42,288.96
2026-03-10,32771.87,297.53
2026-03-11,34114.19,311.5
2026-03-12,33581.86,311.59
2026-03-13,33400.32,312.9
2026-03-16,33342.51,317.19
2026-03-17,33836.57,321.03
2026-03-18,34348.58,329.4
2026-03-19,33689.68,329.79
2026-03-20,33543.88,328.4
2026-03-23,32722.5,317.02
2026-03-24,32612.24,312.74
2026-03-25,33439.11,324.87
2026-03-26,33337.62,322.8
2026-03-27,33112.59,325
2026-03-30,32518.16,320.4
2026-03-31,31722.99,307.73
2026-04-01,33174.82,321.19
2026-04-02,32572.43,317.9
2026-04-07,33229.82,325.61
2026-04-08,34761.38,341.2
2026-04-09,34861.16,342.57
2026-04-10,35417.83,349.5
2026-04-13,35457.29,352.23
2026-04-14,36296.12,356
2026-04-15,36722.14,359.86
2026-04-16,37132.02,365.96
2026-04-17,36804.34,372.34
2026-04-20,36958.8,383.5
2026-04-21,37605.11,390.57
2026-04-22,37878.47,395.08
2026-04-23,37714.15,381.32
2026-04-24,38932.4,381.54
2026-04-27,39616.63,377.05
2026-04-28,39521.73,382.06
2026-04-29,39303.5,382.75
2026-04-30,38926.63,384.58
2026-05-04,40705.14,398.25
2026-05-05,40769.29,407.44
2026-05-06,41138.85,410.29
2026-05-07,41933.78,416.41
2026-05-08,41603.94,409.44
2026-05-11,41790.06,422.01
2026-05-12,41898.32,425.71
2026-05-13,41374.5,420.54
2026-05-14,41751.75,426.57
2026-05-15,41172.36,411.18
2026-05-18,40891.82,409.63
2026-05-19,40175.56,398.18
2026-05-20,40020.82,396.42
2026-05-21,41368.21,409.8
2026-05-22,42267.97,423.25
2026-05-25,43644.4,434.99
2026-05-26,43525.37,439.3
2026-05-27,44256.8,440.19
2026-05-28,43636.44,432.48
2026-05-29,44732.94,443.64
2026-06-01,45337.91,446.02
2026-06-02,45557.31,440.64
2026-06-03,46459.16,446.82
2026-06-04,45677.46,440.1
2026-06-05,45070.94,431.07
2026-06-08,43502.78,412.57
2026-06-09,44704.44,424.71
2026-06-10,43225.54,405.91
2026-06-11,43149.46,407.09
2026-06-12,44169.04,419.72
2026-06-15,45396.99,429.37
2026-06-16,45809.19,430.26
2026-06-17,45877.39,433.34
2026-06-18,46465.2,447.06
2026-06-22,47741.51,453.5
2026-06-23,47100.65,440.81
2026-06-24,46043.6,442.09
2026-06-25,46255.26,439.84
2026-06-26,44571.76,415.26
2026-06-29,44999.9,412.93
